sector,name,date,symbol,price_open,price_close,price_high,price_low,high_52wk,low_52wk,market_cap,shares_outstanding,float_shares,weekly_avg_volume,free_float_pct,dividend_yield,eps,net_income_margin,price_to_book,price_to_earnings,peg_ratio
TEXTILE COMPOSITE,Gul Ahmed Textile Mills Limited,2026-07-18,GATM,27.99,27.02,28.18,26.8,40.7,16.5,20B,740.06M,185.01M,1.49M,25,0,2.72,1.18,0.39,9.95,0.86
CHEMICAL,Ghani Chemical Industries Limited,2026-07-18,GCIL,36.64,36.37,37.4,36.13,40.6,23.81,20.75B,570.45M,228.18M,3.47M,40,0,5.27,33.37,,5.05,
CHEMICAL,Ghani Chemworld Limited,2026-07-18,GCWL,16.55,16.24,16.55,16.01,25.15,11.75,4.06B,250.14M,111.05M,1.04M,44.39,,,,,,
FOOD & PERSONAL CARE PRODUCTS,Ghani Dairies Limited,2026-07-18,GDL,18.74,18.56,18.77,18.4,33,17.98,7.97B,429.2M,107.3M,985.37K,25,,,,,,
MODARABAS,Burj Clean Energy Modaraba(GEM),2026-07-18,GEMBCEM,12,12,14.36,11.75,14.5,9.64,1.2B,100M,25M,2.3K,25,,,,,,
POWER GENERATION & DISTRIBUTION,Mughal Energy Limited(GEM),2026-07-18,GEMMEL,27.2,24.73,27.2,27.2,39,19.1,4.8B,194.1M,19.41M,127.25,10,,,,,,
MISCELLANEOUS,The Pakistan Credit Rating Agency Ltd,2026-07-18,GEMPACRA,36,39.62,36,36,49,22,2.95B,74.53M,7.45M,1,10,,,,,,
"PAPER, BOARD & PACKAGING",Pak Agro Packaging Limited(GEM),2026-07-18,GEMPAPL,11.75,11.75,11.75,11.75,19,9,235M,20M,15M,1.77K,75,,,,,,
TEXTILE COMPOSITE,Ghazi Fabrics International Limited,2026-07-18,GFIL,31.05,30.81,32.44,30.8,35.18,11.1,1.01B,32.64M,3.26M,10.69K,10,,,,,,
GLASS & CERAMICS,Ghani Global Glass Limited,2026-07-18,GGGL,8.96,8.83,9.19,8.77,14.47,6.7,2.12B,240M,120M,665.24K,50,0,0.54,4.51,0.72,16.48,0.78
CHEMICAL,Ghani Global Holdings Limited,2026-07-18,GGL,23.85,23.57,24.3,23.4,31.31,14.1,8.35B,354.12M,177.06M,2.03M,50,0,9.78,31.53,1.03,2.41,0.05
