date,symbol,price_open,price_close,price_high,price_low,high_52wk,low_52wk,market_cap,shares_outstanding,float_shares,weekly_avg_volume,free_float_pct,dividend_yield,eps,net_income_margin,price_to_book,price_to_earnings,peg_ratio
2026-07-18,IPAK,36.4,35.7,36.65,35.7,38,21.02,26.25B,735.21M,220.56M,436.15K,30,2.61,3.81,7.22,2.05,6.57,
2026-07-18,IREIT,8.1,8.08,8.26,8.01,13.05,7.26,2.23B,275.86M,96.55M,522.35K,35,,,,,,
2026-07-18,ISIL,1956.9,1936.95,1980,1905,2370,1725.01,128.53B,66.36M,3.32M,341,5,0.26,62.5,3.31,4.64,30.99,0.47
2026-07-18,ISL,86,83.26,86.02,81.9,135,65.45,36.22B,435M,152.25M,347.27K,35,5.4,6.93,3.59,1.42,12.01,-2.92
2026-07-18,ITANZ,41.5,42.58,43.5,41.3,43.5,41.3,4.59B,107.82M,48.52M,2.13M,45,,,,,,
2026-07-18,ITTEFAQ,9.3,9.13,9.47,9.08,12.64,5.75,1.32B,144.34M,93.82M,11.31M,65,0,-3.91,-27.88,0.45,-2.34,
2026-07-18,JATM,37.44,36.42,38.01,34.6,49.08,14.61,458.94M,12.6M,1.89M,18.72K,15,,,,,,
2026-07-18,JDMT,137.02,141.07,143.86,134.11,175,60.1,975.62M,6.92M,2.07M,75.31K,30,,,,,,
2026-07-18,JDWS,955,951.94,956.98,916.02,1026,780,55B,57.78M,8.67M,182.4,15,5.25,172.77,7.74,1.41,5.51,0.13
2026-07-18,JSML,64.4,62.84,64.4,62.4,147.5,40.61,2.14B,34.13M,13.65M,92.5K,40,0,5.89,1.94,0.23,10.66,0.34
2026-07-18,JVDC,145.1,144.68,147,143.5,163.9,65.15,55.1B,380.86M,190.43M,955.94K,50,7.77,10.67,38.34,1.99,9.51,-0.01
2026-07-18,KCL,152.33,141.37,160,137.11,195.69,115.02,2.06B,14.55M,10.91M,308.4,75,,,,,,
2026-07-18,KEL,7.51,7.35,7.59,7.32,9.58,4.91,202.97B,27.62B,2.76B,31.55M,10,0,0.42,2.19,1.76,10.6,
2026-07-18,KHYT,2159.95,2199.38,2249.95,2000,2689,1131.01,2.7B,1.23M,20.67K,387.6,1.68,,,,,,
2026-07-18,KOHC,100.5,97.28,100.6,96.5,567.99,74,89.43B,919.31M,229.83M,554.06K,25,0,10.62,25.96,1.62,9.16,0.33
2026-07-18,KOHE,15.6,15.56,15.82,15.53,23.49,12.33,2.64B,169.46M,67.78M,94.05K,40,0,3.94,15.83,0.58,3.95,-0.38
2026-07-18,KOHTM,138,135.4,141,135.1,210,40,2.82B,20.8M,6.24M,179.2K,30,1.48,14.85,3.65,0.58,3.17,0.23
2026-07-18,KPUS,2060,1871.47,2060,1871.47,2849.99,115.11,29.98B,16.02M,800.88K,13.87K,5,0,5.5,1.09,7.55,340.27,11.01
2026-07-18,KSBP,244,242.91,245.7,240,257,155.2,7.51B,30.9M,8.37M,295.64K,27.08,0.41,7.14,3.26,1.76,34.02,3.52
2026-07-18,KTML,48.37,46.81,50.49,46.01,305,37.02,63.03B,1.35B,269.3M,1.33M,20,0.85,7.94,8.01,0.78,5.11,0.19
